	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-ConsensusClassification	9-Clustering_97	10-TaxaFilter_97	11-MultipletonsFilter_97	12-Subsampling_97	13-Lulu_97	14-RareSeqsFilter_97
105335	60975	51383	51383	51383 (13265 uniques)	51040 (70 uniques)	50610 (76 uniques)	50610 (66 uniques)	50381 (59 uniques)	50381 (59 uniques)	50381 (59 uniques)	50381 (42 uniques)	50250 (39 uniques)	50250 (39 uniques)	3700 (35 uniques)	3700 (35 uniques)	3698 (33 uniques)
105336	39426	32070	32070	32070 (8951 uniques)	31684 (58 uniques)	31319 (55 uniques)	31319 (50 uniques)	31224 (46 uniques)	31224 (46 uniques)	31224 (46 uniques)	31224 (35 uniques)	31138 (32 uniques)	31138 (32 uniques)	3700 (28 uniques)	3700 (28 uniques)	3700 (28 uniques)
105337	22891	17830	17830	17830 (4062 uniques)	17303 (40 uniques)	17154 (31 uniques)	17154 (29 uniques)	17143 (28 uniques)	17143 (28 uniques)	17143 (28 uniques)	17143 (24 uniques)	264 (21 uniques)	264 (21 uniques)	/	/	/
105338	21520	17140	17140	17140 (11981 uniques)	15024 (495 uniques)	10756 (317 uniques)	10737 (313 uniques)	10737 (313 uniques)	10737 (313 uniques)	10737 (313 uniques)	10737 (284 uniques)	10675 (280 uniques)	10675 (280 uniques)	3700 (274 uniques)	3700 (274 uniques)	3692 (269 uniques)
105339	31494	25323	25323	25323 (13609 uniques)	23022 (536 uniques)	19690 (341 uniques)	19676 (332 uniques)	19676 (332 uniques)	19676 (332 uniques)	19676 (332 uniques)	19676 (313 uniques)	19544 (302 uniques)	19544 (302 uniques)	3700 (264 uniques)	3700 (264 uniques)	3678 (246 uniques)
105340	26960	21376	21376	21376 (10418 uniques)	19580 (265 uniques)	18308 (192 uniques)	18308 (182 uniques)	18293 (180 uniques)	18293 (180 uniques)	18293 (180 uniques)	18293 (157 uniques)	18066 (144 uniques)	18066 (144 uniques)	3700 (129 uniques)	3700 (129 uniques)	3690 (122 uniques)
105341	54609	44716	44716	44716 (25777 uniques)	42236 (889 uniques)	35998 (702 uniques)	35919 (678 uniques)	35885 (675 uniques)	35885 (675 uniques)	35885 (675 uniques)	35885 (509 uniques)	35526 (492 uniques)	35526 (492 uniques)	3700 (429 uniques)	3700 (429 uniques)	3679 (412 uniques)
105342	56413	44901	44901	44901 (20301 uniques)	42646 (433 uniques)	40650 (351 uniques)	40598 (330 uniques)	40577 (328 uniques)	40577 (328 uniques)	40577 (328 uniques)	40577 (269 uniques)	39126 (227 uniques)	39126 (227 uniques)	3700 (180 uniques)	3700 (180 uniques)	3679 (164 uniques)
105343	30412	25654	25654	25654 (17503 uniques)	21820 (872 uniques)	15932 (592 uniques)	15836 (582 uniques)	15836 (582 uniques)	15836 (582 uniques)	15836 (582 uniques)	15836 (499 uniques)	15691 (487 uniques)	15691 (487 uniques)	3700 (439 uniques)	3700 (439 uniques)	3636 (398 uniques)
105344	58019	45655	45655	45655 (17745 uniques)	43477 (473 uniques)	40095 (337 uniques)	40095 (327 uniques)	40056 (323 uniques)	40056 (323 uniques)	40056 (323 uniques)	40056 (258 uniques)	13945 (250 uniques)	13945 (250 uniques)	3700 (234 uniques)	3700 (234 uniques)	3684 (224 uniques)
105345	24817	17701	17701	17701 (12241 uniques)	15652 (627 uniques)	10405 (400 uniques)	10401 (394 uniques)	10401 (394 uniques)	10401 (394 uniques)	10401 (394 uniques)	10401 (353 uniques)	10244 (344 uniques)	10244 (344 uniques)	3700 (332 uniques)	3700 (332 uniques)	3684 (320 uniques)
105346	16123	13138	13138	13138 (3842 uniques)	12921 (36 uniques)	12872 (33 uniques)	12788 (29 uniques)	12788 (29 uniques)	12788 (29 uniques)	12788 (29 uniques)	12788 (29 uniques)	12717 (25 uniques)	12717 (25 uniques)	3700 (22 uniques)	3700 (22 uniques)	3694 (19 uniques)
105347	26606	21203	21203	21203 (9144 uniques)	20039 (283 uniques)	18452 (213 uniques)	18452 (206 uniques)	18436 (205 uniques)	18436 (205 uniques)	18436 (205 uniques)	18436 (184 uniques)	6984 (178 uniques)	6984 (178 uniques)	3700 (177 uniques)	3700 (177 uniques)	3698 (176 uniques)
105348	34862	24270	24270	24270 (15605 uniques)	21804 (658 uniques)	17087 (460 uniques)	17046 (447 uniques)	17046 (447 uniques)	17046 (447 uniques)	17046 (447 uniques)	17046 (388 uniques)	16945 (384 uniques)	16945 (384 uniques)	3700 (359 uniques)	3700 (359 uniques)	3694 (354 uniques)
105349	48324	38775	38775	38775 (12944 uniques)	38280 (120 uniques)	37470 (114 uniques)	37409 (99 uniques)	37328 (94 uniques)	37328 (94 uniques)	37328 (94 uniques)	37328 (58 uniques)	36815 (54 uniques)	36815 (54 uniques)	3700 (43 uniques)	3700 (43 uniques)	3698 (41 uniques)
105350	59191	47660	47660	47660 (21213 uniques)	44508 (544 uniques)	41477 (366 uniques)	41441 (351 uniques)	41257 (345 uniques)	41257 (345 uniques)	41257 (345 uniques)	41257 (307 uniques)	38513 (268 uniques)	38513 (268 uniques)	3700 (179 uniques)	3700 (179 uniques)	3680 (164 uniques)
105351	14970	12034	12034	12034 (7992 uniques)	10704 (407 uniques)	7873 (277 uniques)	7873 (269 uniques)	7873 (269 uniques)	7873 (269 uniques)	7873 (269 uniques)	7873 (228 uniques)	7793 (220 uniques)	7793 (220 uniques)	3700 (218 uniques)	3700 (218 uniques)	3691 (213 uniques)
105352	23718	19078	19078	19078 (6161 uniques)	18046 (107 uniques)	17294 (71 uniques)	17294 (67 uniques)	17294 (67 uniques)	17294 (67 uniques)	17294 (67 uniques)	17294 (63 uniques)	1409 (59 uniques)	1409 (59 uniques)	/	/	/
105353	31560	25600	25600	25600 (13948 uniques)	22575 (543 uniques)	19837 (377 uniques)	19837 (366 uniques)	19802 (365 uniques)	19802 (365 uniques)	19802 (365 uniques)	19802 (320 uniques)	19355 (297 uniques)	19355 (297 uniques)	3700 (247 uniques)	3700 (247 uniques)	3684 (234 uniques)
105354	23653	19346	19346	19346 (11093 uniques)	16948 (415 uniques)	15088 (322 uniques)	15072 (299 uniques)	15072 (299 uniques)	15072 (299 uniques)	15072 (299 uniques)	15072 (248 uniques)	14701 (239 uniques)	14701 (239 uniques)	3700 (215 uniques)	3700 (215 uniques)	3679 (197 uniques)
105355	16036	13175	13175	13175 (3704 uniques)	13027 (38 uniques)	12951 (34 uniques)	12903 (31 uniques)	12903 (31 uniques)	12903 (31 uniques)	12903 (31 uniques)	12903 (29 uniques)	12747 (26 uniques)	12747 (26 uniques)	3700 (24 uniques)	3700 (24 uniques)	3699 (23 uniques)
105356	3069	2327	2327	2327 (1084 uniques)	2195 (44 uniques)	2094 (33 uniques)	2094 (33 uniques)	2094 (33 uniques)	2094 (33 uniques)	2094 (33 uniques)	2094 (33 uniques)	1208 (31 uniques)	1208 (31 uniques)	/	/	/
105357	98979	80539	80539	80539 (29430 uniques)	78584 (384 uniques)	76676 (384 uniques)	76672 (336 uniques)	76358 (319 uniques)	76358 (319 uniques)	76358 (319 uniques)	76358 (251 uniques)	73973 (228 uniques)	73973 (228 uniques)	3700 (150 uniques)	3700 (150 uniques)	3689 (140 uniques)
105358	35944	28586	28586	28586 (16662 uniques)	26664 (791 uniques)	21612 (602 uniques)	21590 (583 uniques)	21581 (582 uniques)	21581 (582 uniques)	21581 (582 uniques)	21581 (455 uniques)	21002 (436 uniques)	21002 (436 uniques)	3700 (402 uniques)	3700 (402 uniques)	3689 (393 uniques)
105359	10082	7973	7973	7973 (5882 uniques)	6668 (281 uniques)	4507 (184 uniques)	4498 (180 uniques)	4498 (180 uniques)	4498 (180 uniques)	4498 (180 uniques)	4498 (163 uniques)	4408 (160 uniques)	4408 (160 uniques)	3700 (160 uniques)	3700 (160 uniques)	3700 (160 uniques)
105360	45731	36314	36314	36314 (22745 uniques)	32999 (984 uniques)	26431 (718 uniques)	26372 (700 uniques)	26372 (700 uniques)	26372 (700 uniques)	26372 (700 uniques)	26372 (604 uniques)	26205 (600 uniques)	26205 (600 uniques)	3700 (519 uniques)	3700 (519 uniques)	3684 (504 uniques)
105361	18668	14469	14469	14469 (9018 uniques)	13179 (636 uniques)	9766 (419 uniques)	9766 (415 uniques)	9766 (415 uniques)	9766 (415 uniques)	9766 (415 uniques)	9766 (385 uniques)	9571 (376 uniques)	9571 (376 uniques)	3700 (363 uniques)	3700 (362 uniques)	3681 (350 uniques)
105362	19675	15142	15142	15142 (9933 uniques)	13361 (580 uniques)	10061 (390 uniques)	10061 (390 uniques)	10043 (389 uniques)	10043 (389 uniques)	10043 (389 uniques)	10043 (367 uniques)	9986 (364 uniques)	9986 (364 uniques)	3700 (354 uniques)	3700 (354 uniques)	3682 (342 uniques)
105363	27879	22303	22303	22303 (5305 uniques)	21879 (78 uniques)	21463 (65 uniques)	21463 (63 uniques)	21440 (62 uniques)	21440 (62 uniques)	21440 (62 uniques)	21440 (48 uniques)	1475 (40 uniques)	1475 (40 uniques)	/	/	/
105364	146	61	61	61 (49 uniques)	19 (3 uniques)	14 (1 uniques)	14 (1 uniques)	14 (1 uniques)	14 (1 uniques)	14 (1 uniques)	14 (1 uniques)	0 (0 uniques)	0 (0 uniques)	/	/	/
105365	1656	1105	1105	1105 (535 uniques)	1047 (23 uniques)	1029 (20 uniques)	1029 (20 uniques)	1029 (20 uniques)	1029 (20 uniques)	1029 (20 uniques)	1029 (20 uniques)	987 (18 uniques)	987 (18 uniques)	/	/	/
105366	4518	1740	1740	1740 (859 uniques)	1609 (18 uniques)	1579 (15 uniques)	1579 (15 uniques)	1579 (15 uniques)	1579 (15 uniques)	1579 (15 uniques)	1579 (15 uniques)	1559 (14 uniques)	1559 (14 uniques)	/	/	/
105367	16320	13620	13620	13620 (3354 uniques)	13469 (14 uniques)	13437 (16 uniques)	13437 (12 uniques)	13437 (12 uniques)	13437 (12 uniques)	13437 (12 uniques)	13437 (10 uniques)	13413 (8 uniques)	13413 (8 uniques)	3700 (8 uniques)	3700 (8 uniques)	3698 (7 uniques)
105368	6982	5482	5482	5482 (2943 uniques)	5180 (276 uniques)	4714 (232 uniques)	4714 (230 uniques)	4714 (230 uniques)	4714 (230 uniques)	4714 (230 uniques)	4714 (218 uniques)	4455 (208 uniques)	4455 (208 uniques)	3700 (208 uniques)	3700 (208 uniques)	3696 (206 uniques)
105369	23811	19417	19417	19417 (4162 uniques)	19137 (42 uniques)	19010 (35 uniques)	18952 (31 uniques)	18931 (30 uniques)	18931 (30 uniques)	18931 (30 uniques)	18931 (25 uniques)	738 (20 uniques)	738 (20 uniques)	/	/	/
105370	33883	25428	25428	25428 (16871 uniques)	22997 (728 uniques)	17465 (522 uniques)	17439 (504 uniques)	17439 (504 uniques)	17439 (504 uniques)	17439 (504 uniques)	17439 (411 uniques)	17335 (404 uniques)	17335 (404 uniques)	3700 (380 uniques)	3700 (380 uniques)	3690 (373 uniques)
105371	33218	26652	26652	26652 (11745 uniques)	26154 (196 uniques)	25386 (194 uniques)	25382 (176 uniques)	25341 (174 uniques)	25341 (174 uniques)	25341 (174 uniques)	25341 (110 uniques)	25263 (105 uniques)	25263 (105 uniques)	3700 (95 uniques)	3700 (95 uniques)	3699 (94 uniques)
105372	18560	15057	15057	15057 (3759 uniques)	14825 (55 uniques)	14673 (48 uniques)	14673 (46 uniques)	14643 (44 uniques)	14643 (44 uniques)	14643 (44 uniques)	14643 (36 uniques)	816 (22 uniques)	816 (22 uniques)	/	/	/
105373	8411	6816	6816	6816 (4090 uniques)	6186 (382 uniques)	4531 (235 uniques)	4513 (232 uniques)	4504 (231 uniques)	4504 (231 uniques)	4504 (231 uniques)	4504 (217 uniques)	4394 (210 uniques)	4394 (210 uniques)	3700 (210 uniques)	3700 (210 uniques)	3696 (208 uniques)
105374	7501	5693	5693	5693 (3034 uniques)	5421 (317 uniques)	4850 (260 uniques)	4850 (260 uniques)	4850 (260 uniques)	4850 (260 uniques)	4850 (260 uniques)	4850 (248 uniques)	4602 (240 uniques)	4602 (240 uniques)	3700 (240 uniques)	3700 (240 uniques)	3696 (238 uniques)
105375	58525	46724	46724	46724 (16159 uniques)	46072 (181 uniques)	44859 (175 uniques)	44820 (153 uniques)	44696 (150 uniques)	44696 (150 uniques)	44696 (150 uniques)	44696 (102 uniques)	43201 (91 uniques)	43201 (91 uniques)	3700 (75 uniques)	3700 (75 uniques)	3695 (71 uniques)
105376	57260	45510	45510	45510 (22032 uniques)	42132 (745 uniques)	38407 (575 uniques)	38394 (533 uniques)	38298 (529 uniques)	38298 (529 uniques)	38298 (529 uniques)	38298 (437 uniques)	36525 (413 uniques)	36525 (413 uniques)	3700 (279 uniques)	3700 (279 uniques)	3667 (251 uniques)
105377	9604	7873	7873	7873 (4420 uniques)	7492 (415 uniques)	6377 (319 uniques)	6365 (317 uniques)	6365 (317 uniques)	6365 (317 uniques)	6365 (317 uniques)	6365 (296 uniques)	6125 (291 uniques)	6125 (291 uniques)	3700 (291 uniques)	3700 (291 uniques)	3694 (285 uniques)
105378	39603	31353	31353	31353 (19415 uniques)	29215 (786 uniques)	23435 (589 uniques)	23413 (572 uniques)	23413 (572 uniques)	23413 (572 uniques)	23413 (572 uniques)	23413 (469 uniques)	23231 (458 uniques)	23231 (458 uniques)	3700 (407 uniques)	3700 (407 uniques)	3682 (394 uniques)
105379	59679	47879	47879	47879 (17470 uniques)	45784 (235 uniques)	44463 (185 uniques)	44457 (171 uniques)	43776 (148 uniques)	43776 (148 uniques)	43776 (148 uniques)	43776 (118 uniques)	42862 (106 uniques)	42862 (106 uniques)	3700 (73 uniques)	3700 (73 uniques)	3697 (70 uniques)
105380	480	136	136	136 (116 uniques)	59 (3 uniques)	59 (3 uniques)	59 (3 uniques)	59 (3 uniques)	59 (3 uniques)	59 (3 uniques)	59 (3 uniques)	32 (2 uniques)	32 (2 uniques)	/	/	/
105381	72778	59018	59018	59018 (10310 uniques)	58517 (67 uniques)	58239 (58 uniques)	58239 (54 uniques)	58170 (51 uniques)	58170 (51 uniques)	58170 (51 uniques)	58170 (35 uniques)	1005 (31 uniques)	1005 (31 uniques)	/	/	/
105382	28863	23064	23064	23064 (6789 uniques)	21969 (133 uniques)	21290 (99 uniques)	21290 (95 uniques)	21227 (90 uniques)	21227 (90 uniques)	21227 (90 uniques)	21227 (80 uniques)	2155 (74 uniques)	2155 (74 uniques)	/	/	/
105383	5958	4632	4632	4632 (2893 uniques)	4212 (281 uniques)	2827 (187 uniques)	2827 (187 uniques)	2827 (187 uniques)	2827 (187 uniques)	2827 (187 uniques)	2827 (176 uniques)	2778 (171 uniques)	2778 (171 uniques)	/	/	/
105384	19511	15786	15786	15786 (8958 uniques)	14717 (635 uniques)	11894 (427 uniques)	11894 (427 uniques)	11894 (427 uniques)	11894 (427 uniques)	11894 (427 uniques)	11894 (386 uniques)	11867 (384 uniques)	11867 (384 uniques)	3700 (372 uniques)	3700 (372 uniques)	3668 (351 uniques)
105385	35019	27718	27718	27718 (6946 uniques)	27296 (22 uniques)	25871 (30 uniques)	25858 (21 uniques)	25858 (21 uniques)	25858 (21 uniques)	25858 (21 uniques)	25858 (9 uniques)	25775 (8 uniques)	25775 (8 uniques)	3700 (5 uniques)	3700 (5 uniques)	3700 (5 uniques)
105386	57895	46282	46282	46282 (9272 uniques)	45835 (78 uniques)	45452 (65 uniques)	45450 (60 uniques)	45359 (55 uniques)	45359 (55 uniques)	45359 (55 uniques)	45359 (41 uniques)	1576 (35 uniques)	1576 (35 uniques)	/	/	/
105387	15969	12293	12293	12293 (3559 uniques)	12121 (40 uniques)	9515 (36 uniques)	9495 (31 uniques)	9495 (31 uniques)	9495 (31 uniques)	9495 (31 uniques)	9495 (29 uniques)	9300 (22 uniques)	9300 (22 uniques)	3700 (21 uniques)	3700 (21 uniques)	3699 (20 uniques)
105388	19198	15906	15906	15906 (9338 uniques)	14700 (513 uniques)	12066 (389 uniques)	11998 (384 uniques)	11998 (384 uniques)	11998 (384 uniques)	11998 (384 uniques)	11998 (334 uniques)	11964 (333 uniques)	11964 (333 uniques)	3700 (327 uniques)	3700 (327 uniques)	3689 (319 uniques)
105389	85089	68344	68344	68344 (11125 uniques)	67710 (41 uniques)	67589 (34 uniques)	67589 (32 uniques)	67523 (30 uniques)	67523 (30 uniques)	67523 (30 uniques)	67523 (26 uniques)	337 (18 uniques)	337 (18 uniques)	/	/	/
105390	31971	25673	25673	25673 (17320 uniques)	22194 (909 uniques)	16205 (613 uniques)	16181 (608 uniques)	16181 (608 uniques)	16181 (608 uniques)	16181 (608 uniques)	16181 (554 uniques)	16026 (544 uniques)	16026 (544 uniques)	3700 (502 uniques)	3700 (502 uniques)	3621 (443 uniques)
105391	39888	32500	32500	32500 (13267 uniques)	30508 (319 uniques)	29124 (220 uniques)	29120 (212 uniques)	28976 (206 uniques)	28976 (206 uniques)	28976 (206 uniques)	28976 (181 uniques)	27840 (156 uniques)	27840 (156 uniques)	3700 (115 uniques)	3700 (115 uniques)	3688 (103 uniques)
105392	27317	21260	21260	21260 (5811 uniques)	20862 (24 uniques)	18386 (23 uniques)	18386 (20 uniques)	18371 (19 uniques)	18371 (19 uniques)	18371 (19 uniques)	18371 (13 uniques)	17549 (9 uniques)	17549 (9 uniques)	3700 (9 uniques)	3700 (9 uniques)	3700 (9 uniques)
105393	24142	19595	19595	19595 (13275 uniques)	17010 (886 uniques)	11184 (567 uniques)	11179 (562 uniques)	11179 (562 uniques)	11179 (562 uniques)	11179 (562 uniques)	11179 (541 uniques)	10824 (503 uniques)	10824 (503 uniques)	3700 (487 uniques)	3700 (487 uniques)	3630 (437 uniques)
105394	16064	12766	12766	12766 (6713 uniques)	12303 (524 uniques)	10897 (429 uniques)	10871 (426 uniques)	10846 (425 uniques)	10846 (425 uniques)	10846 (425 uniques)	10846 (380 uniques)	10679 (375 uniques)	10679 (375 uniques)	3700 (369 uniques)	3700 (369 uniques)	3695 (366 uniques)
105395	52423	41617	41617	41617 (22607 uniques)	39632 (742 uniques)	34977 (614 uniques)	34960 (580 uniques)	34907 (578 uniques)	34907 (578 uniques)	34907 (578 uniques)	34907 (441 uniques)	34788 (436 uniques)	34788 (436 uniques)	3700 (368 uniques)	3700 (368 uniques)	3696 (365 uniques)
105396	48651	38771	38771	38771 (20209 uniques)	35756 (699 uniques)	32624 (523 uniques)	32513 (496 uniques)	32397 (492 uniques)	32397 (492 uniques)	32397 (492 uniques)	32397 (421 uniques)	30432 (377 uniques)	30432 (377 uniques)	3700 (278 uniques)	3700 (278 uniques)	3664 (252 uniques)
105397	58720	48201	48201	48201 (18579 uniques)	47059 (303 uniques)	45706 (295 uniques)	45706 (267 uniques)	45379 (246 uniques)	45379 (246 uniques)	45379 (246 uniques)	45379 (195 uniques)	44082 (178 uniques)	44082 (178 uniques)	3700 (146 uniques)	3700 (146 uniques)	3693 (140 uniques)
105398	50770	41065	41065	41065 (13386 uniques)	40533 (105 uniques)	39903 (109 uniques)	39903 (100 uniques)	39319 (76 uniques)	39319 (76 uniques)	39319 (76 uniques)	39319 (55 uniques)	39164 (52 uniques)	39164 (52 uniques)	3700 (47 uniques)	3700 (47 uniques)	3694 (43 uniques)
105399	30236	23825	23825	23825 (7980 uniques)	22870 (265 uniques)	21592 (174 uniques)	21573 (169 uniques)	21573 (169 uniques)	21573 (169 uniques)	21573 (169 uniques)	21573 (156 uniques)	3940 (145 uniques)	3940 (145 uniques)	3700 (145 uniques)	3700 (145 uniques)	3697 (143 uniques)
105400	28318	20750	20750	20750 (12882 uniques)	18430 (615 uniques)	14467 (404 uniques)	14465 (395 uniques)	14465 (395 uniques)	14465 (395 uniques)	14465 (395 uniques)	14465 (369 uniques)	14163 (349 uniques)	14163 (349 uniques)	3700 (325 uniques)	3700 (325 uniques)	3661 (297 uniques)
105401	54859	43627	43627	43627 (15009 uniques)	42960 (102 uniques)	41820 (114 uniques)	41820 (95 uniques)	41333 (80 uniques)	41333 (80 uniques)	41333 (80 uniques)	41333 (45 uniques)	41216 (43 uniques)	41216 (43 uniques)	3700 (40 uniques)	3700 (40 uniques)	3700 (40 uniques)
105402	44496	35213	35213	35213 (8314 uniques)	34786 (37 uniques)	32008 (44 uniques)	31927 (34 uniques)	31927 (34 uniques)	31927 (34 uniques)	31927 (34 uniques)	31927 (22 uniques)	31806 (17 uniques)	31806 (17 uniques)	3700 (12 uniques)	3700 (12 uniques)	3698 (11 uniques)
105403	39314	30932	30932	30932 (20413 uniques)	28291 (729 uniques)	21097 (540 uniques)	21097 (520 uniques)	21097 (520 uniques)	21097 (520 uniques)	21097 (520 uniques)	21097 (429 uniques)	20830 (424 uniques)	20830 (424 uniques)	3700 (396 uniques)	3700 (396 uniques)	3697 (394 uniques)
105404	55997	42443	42443	42443 (15432 uniques)	40304 (421 uniques)	37164 (293 uniques)	37149 (275 uniques)	36965 (264 uniques)	36965 (264 uniques)	36965 (264 uniques)	36965 (227 uniques)	12417 (211 uniques)	12417 (211 uniques)	3700 (204 uniques)	3700 (204 uniques)	3699 (203 uniques)
105405	38235	30290	30290	30290 (11526 uniques)	28766 (312 uniques)	26760 (229 uniques)	26760 (222 uniques)	26738 (221 uniques)	26738 (221 uniques)	26738 (221 uniques)	26738 (188 uniques)	6716 (184 uniques)	6716 (184 uniques)	3700 (184 uniques)	3700 (184 uniques)	3698 (182 uniques)
105406	30934	25132	25132	25132 (5223 uniques)	24883 (44 uniques)	24782 (41 uniques)	24671 (36 uniques)	24644 (33 uniques)	24644 (33 uniques)	24644 (33 uniques)	24644 (24 uniques)	757 (19 uniques)	757 (19 uniques)	/	/	/
105407	42523	33956	33956	33956 (14758 uniques)	31812 (425 uniques)	28240 (308 uniques)	28053 (291 uniques)	28003 (288 uniques)	28003 (288 uniques)	28003 (288 uniques)	28003 (251 uniques)	10790 (231 uniques)	10790 (231 uniques)	3700 (231 uniques)	3700 (231 uniques)	3694 (226 uniques)
105408	34941	28811	28811	28811 (17129 uniques)	26673 (764 uniques)	21933 (579 uniques)	21933 (556 uniques)	21933 (556 uniques)	21933 (556 uniques)	21933 (556 uniques)	21933 (445 uniques)	21715 (432 uniques)	21715 (432 uniques)	3700 (400 uniques)	3700 (399 uniques)	3699 (398 uniques)
105409	38872	30963	30963	30963 (19395 uniques)	28255 (746 uniques)	22803 (564 uniques)	22790 (540 uniques)	22790 (540 uniques)	22790 (540 uniques)	22790 (540 uniques)	22790 (443 uniques)	22580 (426 uniques)	22580 (426 uniques)	3700 (390 uniques)	3700 (390 uniques)	3688 (381 uniques)
105410	31145	25576	25576	25576 (6859 uniques)	25258 (33 uniques)	24984 (26 uniques)	24984 (24 uniques)	24858 (20 uniques)	24858 (20 uniques)	24858 (20 uniques)	24858 (18 uniques)	24810 (17 uniques)	24810 (17 uniques)	3700 (14 uniques)	3700 (14 uniques)	3700 (14 uniques)
105411	29487	22905	22905	22905 (5495 uniques)	22622 (28 uniques)	21143 (29 uniques)	21135 (24 uniques)	21104 (23 uniques)	21104 (23 uniques)	21104 (23 uniques)	21104 (15 uniques)	19871 (10 uniques)	19871 (10 uniques)	3700 (8 uniques)	3700 (8 uniques)	3700 (8 uniques)
105412	57727	45611	45611	45611 (15425 uniques)	43561 (368 uniques)	40842 (266 uniques)	40832 (253 uniques)	40654 (245 uniques)	40654 (245 uniques)	40654 (245 uniques)	40654 (210 uniques)	10993 (190 uniques)	10993 (190 uniques)	3700 (184 uniques)	3700 (184 uniques)	3697 (182 uniques)
105413	46215	36534	36534	36534 (22665 uniques)	33933 (854 uniques)	27702 (680 uniques)	27696 (650 uniques)	27693 (649 uniques)	27693 (649 uniques)	27693 (649 uniques)	27693 (520 uniques)	27529 (513 uniques)	27529 (513 uniques)	3700 (450 uniques)	3700 (450 uniques)	3694 (445 uniques)
105414	36378	28564	28564	28564 (5221 uniques)	28254 (32 uniques)	28136 (28 uniques)	28136 (26 uniques)	28105 (25 uniques)	28105 (25 uniques)	28105 (25 uniques)	28105 (22 uniques)	197 (16 uniques)	197 (16 uniques)	/	/	/
105415	14620	11850	11850	11850 (2614 uniques)	11673 (16 uniques)	11631 (15 uniques)	11622 (12 uniques)	11602 (11 uniques)	11602 (11 uniques)	11602 (11 uniques)	11602 (9 uniques)	27 (5 uniques)	27 (5 uniques)	/	/	/
105416	26189	20788	20788	20788 (14009 uniques)	18551 (551 uniques)	13916 (395 uniques)	13909 (386 uniques)	13909 (386 uniques)	13909 (386 uniques)	13909 (386 uniques)	13909 (319 uniques)	13840 (316 uniques)	13840 (316 uniques)	3700 (310 uniques)	3700 (310 uniques)	3693 (304 uniques)
105417	37032	29805	29805	29805 (14487 uniques)	27484 (432 uniques)	23723 (300 uniques)	23723 (288 uniques)	23723 (288 uniques)	23723 (288 uniques)	23723 (288 uniques)	23723 (260 uniques)	10797 (252 uniques)	10797 (252 uniques)	3700 (246 uniques)	3700 (246 uniques)	3695 (241 uniques)
105418	29362	23056	23056	23056 (15012 uniques)	20955 (649 uniques)	15800 (483 uniques)	15750 (471 uniques)	15750 (471 uniques)	15750 (471 uniques)	15750 (471 uniques)	15750 (397 uniques)	15659 (391 uniques)	15659 (391 uniques)	3700 (365 uniques)	3700 (365 uniques)	3693 (359 uniques)
105419	32494	25453	25453	25453 (16576 uniques)	22986 (742 uniques)	17588 (503 uniques)	17588 (498 uniques)	17588 (498 uniques)	17588 (498 uniques)	17588 (498 uniques)	17588 (430 uniques)	17526 (425 uniques)	17526 (425 uniques)	3700 (404 uniques)	3700 (404 uniques)	3686 (395 uniques)
105420	43887	34607	34607	34607 (22881 uniques)	31391 (911 uniques)	23149 (651 uniques)	23124 (633 uniques)	23124 (633 uniques)	23124 (633 uniques)	23124 (633 uniques)	23124 (524 uniques)	22990 (519 uniques)	22990 (519 uniques)	3700 (487 uniques)	3700 (487 uniques)	3684 (474 uniques)
105421	56675	43370	43370	43370 (25723 uniques)	40721 (1009 uniques)	34914 (853 uniques)	34902 (815 uniques)	34902 (815 uniques)	34902 (815 uniques)	34902 (815 uniques)	34902 (630 uniques)	34741 (624 uniques)	34741 (624 uniques)	3700 (534 uniques)	3700 (534 uniques)	3692 (527 uniques)
105422	34063	27692	27692	27692 (7050 uniques)	27352 (28 uniques)	26213 (25 uniques)	26180 (21 uniques)	26129 (18 uniques)	26129 (18 uniques)	26129 (18 uniques)	26129 (13 uniques)	20803 (9 uniques)	20803 (9 uniques)	3700 (8 uniques)	3700 (8 uniques)	3699 (7 uniques)
105423	18084	13892	13892	13892 (4690 uniques)	13027 (96 uniques)	12312 (65 uniques)	12312 (62 uniques)	12296 (61 uniques)	12296 (61 uniques)	12296 (61 uniques)	12296 (53 uniques)	1483 (47 uniques)	1483 (47 uniques)	/	/	/
105424	31981	25663	25663	25663 (11040 uniques)	23786 (291 uniques)	22687 (194 uniques)	22674 (191 uniques)	22637 (188 uniques)	22637 (188 uniques)	22637 (188 uniques)	22637 (174 uniques)	20886 (151 uniques)	20886 (151 uniques)	3700 (117 uniques)	3700 (117 uniques)	3689 (108 uniques)
105425	24548	19252	19252	19252 (12488 uniques)	17445 (528 uniques)	13317 (376 uniques)	13312 (366 uniques)	13312 (366 uniques)	13312 (366 uniques)	13312 (366 uniques)	13312 (300 uniques)	13215 (297 uniques)	13215 (297 uniques)	3700 (290 uniques)	3700 (290 uniques)	3699 (289 uniques)
105426	23979	19127	19127	19127 (9796 uniques)	17003 (523 uniques)	14968 (339 uniques)	14966 (333 uniques)	14932 (331 uniques)	14932 (331 uniques)	14932 (331 uniques)	14932 (309 uniques)	14372 (280 uniques)	14372 (280 uniques)	3700 (239 uniques)	3700 (239 uniques)	3661 (208 uniques)
