	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-ConsensusClassification	9-Clustering_97	10-TaxaFilter_97	11-MultipletonsFilter_97	12-Subsampling_97	13-Lulu_97	14-RareSeqsFilter_97
105271	6175	4577	4577	4577 (1870 uniques)	4402 (23 uniques)	4384 (22 uniques)	4384 (20 uniques)	4384 (20 uniques)	4384 (20 uniques)	4384 (20 uniques)	4384 (16 uniques)	4302 (14 uniques)	4302 (14 uniques)	3700 (14 uniques)	3700 (14 uniques)	3700 (14 uniques)
105272	93131	76923	76923	76923 (15505 uniques)	76354 (34 uniques)	76115 (32 uniques)	76115 (29 uniques)	76018 (25 uniques)	76018 (25 uniques)	76018 (25 uniques)	76018 (19 uniques)	75914 (17 uniques)	75914 (17 uniques)	3700 (8 uniques)	3700 (8 uniques)	3700 (8 uniques)
105273	299490	241647	241647	241647 (53445 uniques)	238176 (734 uniques)	233394 (572 uniques)	233394 (559 uniques)	231640 (505 uniques)	231640 (505 uniques)	231640 (505 uniques)	231640 (390 uniques)	36046 (376 uniques)	36046 (376 uniques)	3700 (299 uniques)	3700 (299 uniques)	3679 (282 uniques)
105274	38076	30549	30549	30549 (11783 uniques)	30062 (94 uniques)	29548 (99 uniques)	29548 (88 uniques)	29324 (80 uniques)	29324 (80 uniques)	29324 (80 uniques)	29324 (55 uniques)	29250 (53 uniques)	29250 (53 uniques)	3700 (49 uniques)	3700 (49 uniques)	3700 (49 uniques)
105275	74700	59106	59106	59106 (29080 uniques)	54405 (1185 uniques)	48569 (844 uniques)	48542 (811 uniques)	48390 (807 uniques)	48390 (807 uniques)	48390 (807 uniques)	48390 (715 uniques)	47218 (653 uniques)	47218 (653 uniques)	3700 (426 uniques)	3700 (426 uniques)	3632 (366 uniques)
105276	49793	40007	40007	40007 (7960 uniques)	39569 (63 uniques)	39364 (61 uniques)	39364 (55 uniques)	39310 (52 uniques)	39310 (52 uniques)	39310 (52 uniques)	39310 (37 uniques)	1584 (31 uniques)	1584 (31 uniques)	/	/	/
105277	34261	26351	26351	26351 (10826 uniques)	25030 (298 uniques)	22957 (211 uniques)	22957 (206 uniques)	22896 (201 uniques)	22896 (201 uniques)	22896 (201 uniques)	22896 (175 uniques)	8608 (168 uniques)	8608 (168 uniques)	3700 (167 uniques)	3700 (167 uniques)	3690 (161 uniques)
105278	46147	36705	36705	36705 (17981 uniques)	33364 (696 uniques)	30177 (492 uniques)	30177 (479 uniques)	30163 (478 uniques)	30163 (478 uniques)	30163 (478 uniques)	30163 (423 uniques)	29610 (380 uniques)	29610 (380 uniques)	3700 (287 uniques)	3700 (287 uniques)	3679 (269 uniques)
105279	27287	20518	20518	20518 (6208 uniques)	20197 (57 uniques)	16972 (48 uniques)	16943 (42 uniques)	16758 (34 uniques)	16758 (34 uniques)	16758 (34 uniques)	16758 (34 uniques)	16632 (29 uniques)	16632 (29 uniques)	3700 (25 uniques)	3700 (25 uniques)	3696 (22 uniques)
105280	54878	43312	43312	43312 (23274 uniques)	41051 (893 uniques)	36451 (734 uniques)	36424 (705 uniques)	36424 (705 uniques)	36424 (705 uniques)	36424 (705 uniques)	36424 (552 uniques)	36034 (541 uniques)	36034 (541 uniques)	3700 (455 uniques)	3700 (455 uniques)	3692 (449 uniques)
