"","Size","kingdom","phylum","class","order","family","genus"
"Otu36629","    4","Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10"
"Otu36631","    4","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Candidatus_Berkiella"
"Otu36632","    3","Bacteria","Actinobacteria","RBG-16-55-12","RBG-16-55-12_or","RBG-16-55-12_fa","RBG-16-55-12_ge"
"Otu36633","    5","Bacteria","WS2","WS2_cl","WS2_or","WS2_fa","WS2_ge"
"Otu36635","    7","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","uncultured"
"Otu36636","    6","Bacteria","Acidobacteria","Subgroup_17","Subgroup_17_or","Subgroup_17_fa","Subgroup_17_ge"
"Otu36637","    5","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Desulfobacca"
"Otu36638","    4","Bacteria","Gemmatimonadetes","BD2-11_terrestrial_group","BD2-11_terrestrial_group_or","BD2-11_terrestrial_group_fa","BD2-11_terrestrial_group_ge"
"Otu36639","    3","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula"
"Otu36640","    6","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellulaceae_unclassified"
"Otu36641","    3","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","uncultured"
"Otu36643","    6","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio"
"Otu36644","    6","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax"
"Otu36647","    4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified","Rhodospirillales_unclassified"
"Otu36649","    4","Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","RBG-13-54-9_fa","RBG-13-54-9_ge"
"Otu36650","    7","Bacteria","Planctomycetes","Planctomycetes_unclassified","Planctomycetes_unclassified","Planctomycetes_unclassified","Planctomycetes_unclassified"
"Otu36651","    3","Bacteria","Nitrospirae","4-29-1","4-29-1_or","4-29-1_fa","4-29-1_ge"
"Otu36655","    3","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"Otu36656","    3","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"Otu36658","    5","Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"Otu36659","    3","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadales_fa","Chthonomonadales_ge"
"Otu36661","    3","Bacteria","Chloroflexi","JG30-KF-CM66","JG30-KF-CM66_or","JG30-KF-CM66_fa","JG30-KF-CM66_ge"
"Otu36663","    3","Bacteria","Acidobacteria","Acidobacteriia","Subgroup_2","Subgroup_2_fa","Subgroup_2_ge"
"Otu36664","    3","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","uncultured"
"Otu36667","    4","Bacteria","Bacteroidetes","Rhodothermia","Rhodothermales","Rhodothermaceae","Rubrivirga"
"Otu36669","    3","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","uncultured"
"Otu36672","    4","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Cellulosimicrobium"
"Otu36674","    3","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","uncultured"
"Otu36675","    4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"Otu36676","    3","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","uncultured"
"Otu36679","    3","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagales_unclassified","Cytophagales_unclassified"
"Otu36686","    3","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophagaceae_unclassified"
"Otu36692","    3","Bacteria","Planctomycetes","Phycisphaerae","MSBL9","SG8-4","SG8-4_ge"
"Otu36695","    3","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group_ge"
"Otu36697","    3","Bacteria","Chloroflexi","Anaerolineae","Anaerolineae_unclassified","Anaerolineae_unclassified","Anaerolineae_unclassified"
"Otu36698","    3","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","uncultured"
